query_id,subject_id,percent_identity,percent_coverage,alignment_length,query_start,query_end,subject_start,subject_end
Feature188,AP026095.1,100.0,100.0,100,1,100,3679997,3679898
Feature190,AP026095.1,100.0,100.0,100,1,100,2060135,2060036
Feature196,AP026095.1,100.0,100.0,100,1,100,3424495,3424396
Feature198,AP026095.1,100.0,100.0,100,1,100,2577776,2577677
Feature199,AP026095.1,100.0,100.0,89,1,89,1815924,1816012
Feature203,AP026095.1,100.0,100.0,100,1,100,4506814,4506715
Feature205,AP026095.1,100.0,100.0,89,1,89,3428762,3428850
Feature206,AP026095.1,100.0,100.0,95,1,95,3428849,3428755
Feature209,AP026095.1,100.0,100.0,80,1,80,2567630,2567709
Feature212,AP026095.1,100.0,100.0,100,1,100,1816281,1816380
Feature215,AP026095.1,100.0,100.0,100,1,100,4998244,4998145
Feature217,AP026095.1,100.0,100.0,82,1,82,3398257,3398338
Feature219,AP026095.1,100.0,100.0,100,1,100,1851592,1851691
Feature222,AP026095.1,100.0,100.0,95,1,95,3677044,3676950
Feature223,AP026095.1,100.0,100.0,81,1,81,2072653,2072573
Feature223,AP026095.1,100.0,100.0,81,1,81,2598240,2598160
Feature226,AP026095.1,100.0,100.0,100,1,100,2607840,2607741
Feature226,AP026095.1,100.0,100.0,100,1,100,3391834,3391933
Feature226,AP026095.1,100.0,100.0,100,1,100,5000349,5000250
Feature228,AP026095.1,100.0,100.0,100,1,100,1816335,1816434
Feature235,AP026095.1,100.0,100.0,100,1,100,3390891,3390990
Feature235,AP026095.1,100.0,100.0,100,1,100,3391032,3391131
Feature235,AP026095.1,100.0,100.0,100,1,100,3391173,3391272
Feature235,AP026095.1,100.0,100.0,100,1,100,3391314,3391413
Feature239,AP026095.1,100.0,100.0,89,1,89,3421519,3421431
Feature241,AP026095.1,100.0,100.0,81,1,81,3074248,3074168
Feature241,AP026095.1,100.0,100.0,81,1,81,3680017,3679937
Feature243,AP026095.1,100.0,100.0,98,1,98,4999561,4999658
Feature244,AP026095.1,100.0,100.0,90,1,90,2568893,2568804
Feature245,AP026095.1,100.0,100.0,81,1,81,2602093,2602013
Feature246,AP026095.1,100.0,100.0,100,1,100,2577651,2577750
Feature247,AP026095.1,100.0,100.0,92,1,92,3679938,3680029
Feature248,AP026095.1,100.0,100.0,92,1,92,2579083,2579174
Feature249,AP026095.1,100.0,100.0,100,1,100,1851591,1851690
Feature253,AP026095.1,100.0,100.0,98,1,98,2568564,2568661
Feature253,AP026095.1,100.0,100.0,98,1,98,2955450,2955353
Feature255,AP026095.1,100.0,100.0,100,1,100,2144351,2144252
Feature255,AP026095.1,100.0,100.0,100,1,100,2580647,2580548
Feature256,AP026095.1,100.0,100.0,91,1,91,1816312,1816222
Feature258,AP026095.1,100.0,100.0,100,1,100,2060168,2060069
Feature261,AP026095.1,100.0,100.0,94,1,94,349247,349154
Feature265,AP026095.1,100.0,100.0,100,1,100,1530627,1530726
Feature266,AP026095.1,100.0,100.0,100,1,100,3074207,3074108
Feature266,AP026095.1,100.0,100.0,100,1,100,3679976,3679877
Feature268,AP026095.1,100.0,100.0,87,1,87,2607973,2608059
Feature272,AP026095.1,100.0,100.0,84,1,84,3679937,3680020
Feature273,AP026095.1,100.0,100.0,84,1,84,3680030,3679947
Feature274,AP026095.1,100.0,100.0,85,1,85,3698698,3698614
Feature275,AP026095.1,100.0,100.0,100,1,100,1816169,1816070
Feature278,AP026095.1,100.0,100.0,90,1,90,1531852,1531941
Feature282,AP026095.1,100.0,100.0,88,1,88,1219226,1219139
Feature284,AP026095.1,100.0,100.0,100,1,100,1522957,1522858
Feature291,AP026095.1,100.0,100.0,97,1,97,3414170,3414266
Feature295,AP026095.1,100.0,100.0,100,1,100,1219058,1219157
Feature298,AP026095.1,100.0,100.0,88,1,88,1530651,1530738
Feature299,AP026095.1,100.0,100.0,97,1,97,3428753,3428849
Feature300,AP026095.1,100.0,100.0,100,1,100,1854228,1854129
Feature300,AP026095.1,100.0,100.0,100,1,100,2918667,2918766
Feature302,AP026095.1,100.0,100.0,98,1,98,3393751,3393848
Feature305,AP026095.1,100.0,100.0,100,1,100,2568569,2568668
Feature305,AP026095.1,100.0,100.0,100,1,100,2955445,2955346
Feature307,AP026095.1,100.0,100.0,92,1,92,2141399,2141490
Feature309,AP026095.1,100.0,100.0,100,1,100,2575063,2575162
Feature312,AP026095.1,100.0,100.0,89,1,89,1817837,1817749
Feature312,AP026095.1,100.0,100.0,89,1,89,2036178,2036090
Feature313,AP026095.1,100.0,100.0,98,1,98,1816319,1816222
Feature318,AP026095.1,100.0,100.0,94,1,94,2568897,2568804
Feature320,AP026095.1,100.0,100.0,91,1,91,2602103,2602013
Feature321,AP026095.1,100.0,100.0,100,1,100,2577757,2577658
Feature323,AP026095.1,100.0,100.0,100,1,100,1530694,1530595
Feature328,AP026095.1,100.0,100.0,100,1,100,1531860,1531959
Feature331,AP026095.1,100.0,100.0,91,1,91,1834528,1834618
Feature333,AP026095.1,100.0,100.0,92,1,92,1531862,1531953
Feature338,AP026095.1,100.0,100.0,100,1,100,1853635,1853734
Feature338,AP026095.1,100.0,100.0,100,1,100,2919260,2919161
Feature339,AP026095.1,100.0,100.0,84,1,84,4998143,4998226
Feature342,AP026095.1,100.0,100.0,93,1,93,3680030,3679938
Feature346,AP026095.1,100.0,100.0,100,1,100,1816418,1816319
Feature347,AP026095.1,100.0,100.0,85,1,85,3074164,3074248
Feature347,AP026095.1,100.0,100.0,85,1,85,3679933,3680017
Feature348,AP026095.1,100.0,100.0,97,1,97,3038835,3038739
Feature352,AP026095.1,100.0,100.0,92,1,92,2568897,2568806
Feature353,AP026095.1,100.0,100.0,94,1,94,2568631,2568538
Feature353,AP026095.1,100.0,100.0,94,1,94,2955383,2955476
Feature354,AP026095.1,100.0,100.0,100,1,100,4334008,4333909
Feature358,AP026095.1,100.0,100.0,100,1,100,2607820,2607721
Feature358,AP026095.1,100.0,100.0,100,1,100,3391854,3391953
Feature358,AP026095.1,100.0,100.0,100,1,100,5000329,5000230
Feature361,AP026095.1,100.0,100.0,99,1,99,2051717,2051815
Feature364,AP026095.1,100.0,100.0,82,1,82,3679939,3680020
Feature371,AP026095.1,100.0,100.0,100,1,100,2144350,2144251
Feature371,AP026095.1,100.0,100.0,100,1,100,2580646,2580547
Feature376,AP026095.1,100.0,100.0,87,1,87,1816308,1816222
Feature380,AP026095.1,100.0,100.0,84,1,84,2057153,2057236
Feature381,AP026095.1,100.0,100.0,87,1,87,2569883,2569969
Feature382,AP026095.1,100.0,100.0,100,1,100,1531861,1531960
Feature383,AP026095.1,100.0,100.0,94,1,94,2608058,2607965
Feature384,AP026095.1,100.0,100.0,87,1,87,1514371,1514285
Feature384,AP026095.1,100.0,100.0,87,1,87,1816310,1816224
Feature384,AP026095.1,100.0,100.0,87,1,87,2034651,2034565
Feature386,AP026095.1,100.0,100.0,82,1,82,3679938,3680019
Feature391,AP026095.1,100.0,100.0,100,1,100,1530625,1530526
Feature394,AP026095.1,100.0,100.0,96,1,96,2072668,2072573
Feature394,AP026095.1,100.0,100.0,96,1,96,2598255,2598160
Feature399,AP026095.1,100.0,100.0,98,1,98,2567633,2567730
Feature400,AP026095.1,100.0,100.0,100,1,100,2567961,2568060
Feature403,AP026095.1,100.0,100.0,89,1,89,3698702,3698614
Feature408,AP026095.1,100.0,100.0,93,1,93,3038739,3038831
Feature409,AP026095.1,100.0,100.0,87,1,87,1856330,1856416
Feature409,AP026095.1,100.0,100.0,87,1,87,2082705,2082791
Feature409,AP026095.1,100.0,100.0,87,1,87,2916478,2916392
Feature409,AP026095.1,100.0,100.0,87,1,87,4999825,4999911
Feature416,AP026095.1,100.0,100.0,88,1,88,1852014,1851927
Feature416,AP026095.1,100.0,100.0,88,1,88,2078383,2078296
Feature419,AP026095.1,100.0,100.0,93,1,93,2141399,2141491
Feature425,AP026095.1,100.0,100.0,89,1,89,833514,833602
Feature432,AP026095.1,100.0,100.0,100,1,100,416556,416457
Feature439,AP026095.1,100.0,100.0,100,1,100,2608059,2607960
Feature445,AP026095.1,100.0,100.0,100,1,100,1528834,1528933
Feature445,AP026095.1,100.0,100.0,100,1,100,2049774,2049873
Feature449,AP026095.1,100.0,100.0,100,1,100,2051796,2051697
Feature452,AP026095.1,100.0,100.0,92,1,92,2144481,2144390
Feature454,AP026095.1,100.0,100.0,84,1,84,4999660,4999577
Feature457,AP026095.1,100.0,100.0,100,1,100,1816446,1816347
Feature458,AP026095.1,100.0,100.0,99,1,99,2568665,2568567
Feature458,AP026095.1,100.0,100.0,99,1,99,2955349,2955447
Feature459,AP026095.1,100.0,100.0,100,1,100,5062865,5062964
Feature460,AP026095.1,100.0,100.0,100,1,100,3390969,3390870
Feature460,AP026095.1,100.0,100.0,100,1,100,3391110,3391011
Feature460,AP026095.1,100.0,100.0,100,1,100,3391251,3391152
Feature460,AP026095.1,100.0,100.0,100,1,100,3391392,3391293
Feature464,AP026095.1,100.0,100.0,100,1,100,2144344,2144245
Feature464,AP026095.1,100.0,100.0,100,1,100,2580640,2580541
Feature466,AP026095.1,100.0,100.0,100,1,100,1530535,1530634
Feature468,AP026095.1,100.0,100.0,100,1,100,1853636,1853735
Feature468,AP026095.1,100.0,100.0,100,1,100,2919259,2919160
Feature469,AP026095.1,100.0,100.0,86,1,86,2607973,2608058
Feature472,AP026095.1,100.0,100.0,94,1,94,2142549,2142642
Feature473,AP026095.1,100.0,100.0,84,1,84,2568650,2568567
Feature473,AP026095.1,100.0,100.0,84,1,84,2955364,2955447
Feature474,AP026095.1,100.0,100.0,89,1,89,2607965,2608053
Feature476,AP026095.1,100.0,100.0,100,1,100,252200,252299
Feature477,AP026095.1,100.0,100.0,92,1,92,3074153,3074244
Feature477,AP026095.1,100.0,100.0,92,1,92,3679922,3680013
Feature478,AP026095.1,100.0,100.0,100,1,100,2141399,2141498
Feature483,AP026095.1,100.0,100.0,87,1,87,2568632,2568546
Feature483,AP026095.1,100.0,100.0,87,1,87,2955382,2955468
Feature484,AP026095.1,100.0,100.0,100,1,100,1816333,1816432
Feature485,AP026095.1,100.0,100.0,100,1,100,252188,252287
Feature489,AP026095.1,100.0,100.0,100,1,100,2568542,2568641
Feature489,AP026095.1,100.0,100.0,100,1,100,2955472,2955373
Feature490,AP026095.1,100.0,100.0,100,1,100,1849797,1849896
Feature490,AP026095.1,100.0,100.0,100,1,100,2922479,2922380
Feature490,AP026095.1,100.0,100.0,100,1,100,3399506,3399407
Feature498,AP026095.1,100.0,100.0,100,1,100,1515625,1515724
Feature503,AP026095.1,100.0,100.0,92,1,92,2141400,2141491
Feature504,AP026095.1,100.0,100.0,100,1,100,1530552,1530651
Feature507,AP026095.1,100.0,100.0,94,1,94,2072666,2072573
Feature507,AP026095.1,100.0,100.0,94,1,94,2598253,2598160
Feature511,AP026095.1,100.0,100.0,100,1,100,3416424,3416523
Feature512,AP026095.1,100.0,100.0,100,1,100,2144256,2144355
Feature512,AP026095.1,100.0,100.0,100,1,100,2580552,2580651
Feature513,AP026095.1,100.0,100.0,100,1,100,1530507,1530606
Feature515,AP026095.1,100.0,100.0,91,1,91,2141400,2141490
Feature518,AP026095.1,100.0,100.0,83,1,83,3393766,3393848
Feature520,AP026095.1,100.0,100.0,80,1,80,1530681,1530602
Feature524,AP026096.1,100.0,100.0,80,1,80,23597,23676
Feature525,AP026095.1,100.0,100.0,89,1,89,4999775,4999687
Feature526,AP026095.1,100.0,100.0,100,1,100,3390879,3390978
Feature526,AP026095.1,100.0,100.0,100,1,100,3391020,3391119
Feature526,AP026095.1,100.0,100.0,100,1,100,3391161,3391260
Feature526,AP026095.1,100.0,100.0,100,1,100,3391302,3391401
Feature527,AP026095.1,100.0,100.0,100,1,100,1531862,1531961
Feature529,AP026095.1,100.0,100.0,100,1,100,1853711,1853612
Feature529,AP026095.1,100.0,100.0,100,1,100,2919184,2919283
Feature530,AP026095.1,100.0,100.0,100,1,100,2916067,2916166
Feature531,AP026095.1,100.0,100.0,100,1,100,2060052,2060151
Feature532,AP026095.1,100.0,100.0,97,1,97,2141502,2141406
Feature534,AP026095.1,100.0,100.0,100,1,100,2141500,2141401
Feature536,AP026095.1,100.0,100.0,94,1,94,3074151,3074244
Feature536,AP026095.1,100.0,100.0,94,1,94,3679920,3680013
Feature537,AP026095.1,100.0,100.0,86,1,86,3698456,3698371
Feature540,AP026095.1,100.0,100.0,96,1,96,2141399,2141494
Feature541,AP026095.1,100.0,100.0,100,1,100,4498979,4498880
Feature548,AP026095.1,100.0,100.0,84,1,84,2607973,2608056
Feature552,AP026095.1,100.0,100.0,100,1,100,1530570,1530669
Feature553,AP026095.1,100.0,100.0,86,1,86,3679938,3680023
Feature555,AP026095.1,100.0,100.0,95,1,95,1530534,1530628
Feature556,AP026095.1,100.0,100.0,92,1,92,3698363,3698454
Feature558,AP026095.1,100.0,100.0,95,1,95,1849776,1849870
Feature558,AP026095.1,100.0,100.0,95,1,95,2922500,2922406
Feature558,AP026095.1,100.0,100.0,95,1,95,3399527,3399433
Feature561,AP026095.1,100.0,100.0,91,1,91,2569879,2569969
Feature564,AP026095.1,100.0,100.0,100,1,100,1531859,1531958
Feature567,AP026095.1,100.0,100.0,100,1,100,3390883,3390982
Feature567,AP026095.1,100.0,100.0,100,1,100,3391024,3391123
Feature567,AP026095.1,100.0,100.0,100,1,100,3391165,3391264
Feature567,AP026095.1,100.0,100.0,100,1,100,3391306,3391405
Feature573,AP026095.1,100.0,100.0,89,1,89,2608058,2607970
Feature574,AP026095.1,100.0,100.0,95,1,95,2568799,2568893
Feature577,AP026095.1,100.0,100.0,100,1,100,1530527,1530626
Feature601,AP026095.1,100.0,100.0,100,1,100,1853752,1853653
Feature601,AP026095.1,100.0,100.0,100,1,100,2919143,2919242
Feature605,AP026095.1,100.0,100.0,100,1,100,2916055,2916154
Feature606,AP026095.1,100.0,100.0,100,1,100,2050720,2050621
Feature607,AP026095.1,100.0,100.0,100,1,100,1530609,1530510
Feature609,AP026095.1,100.0,100.0,100,1,100,4406422,4406323
Feature611,AP026095.1,100.0,100.0,100,1,100,1530615,1530516
Feature620,AP026095.1,100.0,100.0,100,1,100,1853712,1853613
Feature620,AP026095.1,100.0,100.0,100,1,100,2919183,2919282
Feature621,AP026095.1,100.0,100.0,100,1,100,3074140,3074239
Feature621,AP026095.1,100.0,100.0,100,1,100,3679909,3680008
Feature625,AP026095.1,100.0,100.0,100,1,100,3390871,3390970
Feature625,AP026095.1,100.0,100.0,100,1,100,3391012,3391111
Feature625,AP026095.1,100.0,100.0,100,1,100,3391153,3391252
Feature625,AP026095.1,100.0,100.0,100,1,100,3391294,3391393
Feature630,AP026095.1,100.0,100.0,100,1,100,2607951,2608050
Feature632,AP026095.1,100.0,100.0,89,1,89,4999781,4999693
Feature638,AP026095.1,100.0,100.0,83,1,83,3074244,3074162
Feature638,AP026095.1,100.0,100.0,83,1,83,3680013,3679931
Feature640,AP026095.1,100.0,100.0,100,1,100,1852943,1852844
Feature640,AP026095.1,100.0,100.0,100,1,100,2079312,2079213
Feature640,AP026095.1,100.0,100.0,100,1,100,3395745,3395844
Feature646,AP026095.1,100.0,100.0,87,1,87,1531941,1531855
Feature648,AP026095.1,100.0,100.0,85,1,85,2141494,2141410
Feature649,AP026095.1,100.0,100.0,100,1,100,2141501,2141402
Feature654,AP026095.1,100.0,100.0,100,1,100,4333912,4334011
Feature655,AP026095.1,100.0,100.0,100,1,100,1849777,1849876
Feature655,AP026095.1,100.0,100.0,100,1,100,2922499,2922400
Feature655,AP026095.1,100.0,100.0,100,1,100,3399526,3399427
Feature659,AP026095.1,100.0,100.0,91,1,91,4999693,4999783
Feature664,AP026095.1,100.0,100.0,98,1,98,3074248,3074151
Feature664,AP026095.1,100.0,100.0,98,1,98,3680017,3679920
Feature667,AP026095.1,100.0,100.0,86,1,86,1531855,1531940
Feature668,AP026095.1,100.0,100.0,100,1,100,1853619,1853718
Feature668,AP026095.1,100.0,100.0,100,1,100,2919276,2919177
Feature674,AP026095.1,100.0,100.0,100,1,100,3391425,3391326
Feature676,AP026095.1,100.0,100.0,95,1,95,2072662,2072568
Feature676,AP026095.1,100.0,100.0,95,1,95,2598249,2598155
Feature679,AP026095.1,100.0,100.0,89,1,89,2141403,2141491
Feature680,AP026095.1,100.0,100.0,100,1,100,3074147,3074246
Feature680,AP026095.1,100.0,100.0,100,1,100,3679916,3680015
Feature684,AP026095.1,100.0,100.0,100,1,100,1530520,1530619
Feature688,AP026095.1,100.0,100.0,100,1,100,2050719,2050620
Feature689,AP026095.1,100.0,100.0,98,1,98,2141405,2141502
Feature693,AP026095.1,100.0,100.0,88,1,88,3393760,3393847
Feature696,AP026095.1,100.0,100.0,97,1,97,2072669,2072573
Feature696,AP026095.1,100.0,100.0,97,1,97,2598256,2598160
Feature703,AP026095.1,100.0,100.0,100,1,100,1849892,1849793
Feature703,AP026095.1,100.0,100.0,100,1,100,2922384,2922483
Feature703,AP026095.1,100.0,100.0,100,1,100,3399411,3399510
Feature719,AP026095.1,100.0,100.0,89,1,89,2141406,2141494
Feature720,AP026095.1,100.0,100.0,100,1,100,4406329,4406428
Feature725,AP026095.1,100.0,100.0,83,1,83,2077077,2077159
Feature730,AP026095.1,100.0,100.0,100,1,100,1531873,1531972
Feature731,AP026095.1,100.0,100.0,95,1,95,2141400,2141494
Feature734,AP026095.1,100.0,100.0,100,1,100,3393755,3393854
Feature735,AP026095.1,100.0,100.0,82,1,82,1531862,1531943
Feature738,AP026095.1,100.0,100.0,84,1,84,1531857,1531940
Feature748,AP026095.1,100.0,100.0,100,1,100,2072668,2072569
Feature748,AP026095.1,100.0,100.0,100,1,100,2598255,2598156
Feature749,AP026095.1,100.0,100.0,100,1,100,4750731,4750632
Feature761,AP026095.1,100.0,100.0,100,1,100,1530560,1530659
Feature764,AP026095.1,100.0,100.0,89,1,89,3393760,3393848
Feature770,AP026095.1,100.0,100.0,92,1,92,1852015,1851924
Feature770,AP026095.1,100.0,100.0,92,1,92,2078384,2078293
Feature774,AP026095.1,100.0,100.0,100,1,100,3390983,3390884
Feature774,AP026095.1,100.0,100.0,100,1,100,3391124,3391025
Feature774,AP026095.1,100.0,100.0,100,1,100,3391265,3391166
Feature774,AP026095.1,100.0,100.0,100,1,100,3391406,3391307
Feature775,AP026095.1,100.0,100.0,90,1,90,3393763,3393852
Feature776,AP026095.1,100.0,100.0,100,1,100,1830573,1830474
Feature786,AP026095.1,100.0,100.0,100,1,100,1530586,1530685
Feature787,AP026095.1,100.0,100.0,100,1,100,5243757,5243856
Feature796,AP026095.1,100.0,100.0,100,1,100,3391428,3391329
Feature798,AP026095.1,100.0,100.0,99,1,99,2142549,2142647
Feature803,AP026095.1,100.0,100.0,96,1,96,3276871,3276776
Feature808,AP026095.1,100.0,100.0,80,1,80,4999813,4999734
Feature809,AP026095.1,100.0,100.0,100,1,100,1530525,1530624
Feature818,AP026095.1,100.0,100.0,100,1,100,1528836,1528935
Feature818,AP026095.1,100.0,100.0,100,1,100,2049776,2049875
Feature823,AP026095.1,100.0,100.0,100,1,100,2141397,2141496
Feature836,AP026095.1,100.0,100.0,100,1,100,3276872,3276773
Feature845,AP026095.1,100.0,100.0,100,1,100,4498914,4499013
Feature846,AP026095.1,100.0,100.0,100,1,100,252190,252289
Feature848,AP026095.1,100.0,100.0,100,1,100,252273,252174
Feature849,AP026095.1,100.0,100.0,100,1,100,252309,252210
Feature854,AP026095.1,100.0,100.0,100,1,100,1853620,1853719
Feature854,AP026095.1,100.0,100.0,100,1,100,2919275,2919176
Feature858,AP026095.1,100.0,100.0,100,1,100,4498877,4498976
Feature866,AP026095.1,100.0,100.0,100,1,100,4334012,4333913
Feature872,AP026095.1,100.0,100.0,100,1,100,4498983,4498884
Feature873,AP026095.1,100.0,100.0,100,1,100,4334013,4333914
Feature874,AP026095.1,100.0,100.0,100,1,100,4498864,4498963
Feature875,AP026095.1,100.0,100.0,100,1,100,252192,252291
Feature877,AP026095.1,100.0,100.0,100,1,100,4498908,4499007
Feature882,AP026095.1,100.0,100.0,100,1,100,4498926,4499025
Feature883,AP026095.1,100.0,100.0,100,1,100,1852945,1852846
Feature883,AP026095.1,100.0,100.0,100,1,100,2079314,2079215
Feature883,AP026095.1,100.0,100.0,100,1,100,3395743,3395842
Feature884,AP026095.1,100.0,100.0,100,1,100,252170,252269
Feature886,AP026095.1,100.0,100.0,100,1,100,1530572,1530671
Feature887,AP026095.1,100.0,100.0,100,1,100,4498971,4498872
Feature889,AP026095.1,100.0,100.0,100,1,100,1852944,1852845
Feature889,AP026095.1,100.0,100.0,100,1,100,2079313,2079214
Feature889,AP026095.1,100.0,100.0,100,1,100,3395744,3395843
Feature906,AP026095.1,100.0,100.0,100,1,100,252150,252249
Feature911,AP026095.1,100.0,100.0,100,1,100,2143402,2143501
Feature963,AP026095.1,100.0,100.0,100,1,100,1530574,1530673
Feature965,AP026095.1,100.0,100.0,90,1,90,2141405,2141494
Feature968,AP026095.1,100.0,100.0,100,1,100,4334009,4333910
Feature973,AP026095.1,100.0,100.0,100,1,100,4334006,4333907
Feature991,AP026095.1,100.0,100.0,100,1,100,4334005,4333906
Feature998,AP026095.1,100.0,100.0,100,1,100,1530681,1530582
Feature1019,AP026095.1,100.0,100.0,80,1,80,4999783,4999704
Feature1023,AP026095.1,100.0,100.0,100,1,100,2608054,2607955
Feature1025,AP026095.1,100.0,100.0,95,1,95,3276870,3276776
Feature1036,AP026095.1,100.0,100.0,100,1,100,4334088,4333989
Feature1037,AP026095.1,100.0,100.0,100,1,100,4334094,4333995
Feature1040,AP026095.1,100.0,100.0,100,1,100,4333988,4334087
Feature1041,AP026095.1,100.0,100.0,100,1,100,3390886,3390985
Feature1041,AP026095.1,100.0,100.0,100,1,100,3391027,3391126
Feature1041,AP026095.1,100.0,100.0,100,1,100,3391168,3391267
Feature1041,AP026095.1,100.0,100.0,100,1,100,3391309,3391408
Feature1043,AP026095.1,100.0,100.0,90,1,90,4999734,4999823
Feature1045,AP026095.1,100.0,100.0,100,1,100,2141493,2141394
